hotelId,hotelCityCode,hotelName,hotelPic,hotelScore,hotelTag,hotelUrl,hotelPrice,hotelLongitude,hotelLatitude
50,SZX,华里精品酒店（深圳前海店）,http://dimg11.c-ctrip.com/images/20090e00000070o4t5A38_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/6469336.html,345,113.910452,22.529325
51,CAN,美豪丽致酒店（广州五羊新城店）,http://dimg11.c-ctrip.com/images/200s090000003l8f5B377_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/371132.html,958,113.312089,23.120451
52,CAN,柏高商务酒店（广州太古汇石牌桥地铁站店）（原天河城店）,http://dimg10.c-ctrip.com/images/hotel/81000/80399/fb25b033a01340c68aeb961238865d33_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/431298.html,918,113.332142,23.132701
53,CAN,柏高酒店（广州龙口西岗顶地铁站店）,http://dimg10.c-ctrip.com/images/200t070000002bwgz9413_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/449125.html,1826,113.336067,23.137793
54,CAN,柏高商务酒店（广州珠江新城赛马场店）,http://dimg13.c-ctrip.com/images/hotel/68000/67160/96c0e74215954a16b5cdb4f6b20d0709_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/449138.html,735,113.352948,23.120136
55,CAN,广州裕通大酒店,http://dimg13.c-ctrip.com/images/hotel/27000/26314/12c214af6ba543c9b163938420001829_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/449899.html,708,113.357034,23.134055
56,CAN,港润明悦酒店（广州琶洲会展科韵路店）（原明悦酒店）,http://dimg10.c-ctrip.com/images/hotel/427000/426110/b5d4bdb0ff424e048f0ed4e1c1b74f24_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/452535.html,988,113.379088,23.122134
57,CAN,易成国际酒店公寓（广州东站保利中汇店）,http://dimg12.c-ctrip.com/images/hotel/472000/471190/7f8728dd2ea74bd9aeada643a5caae67_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/471190.html,605,113.323554,23.148004
58,CAN,易成国际酒店公寓（广州东站威尼国际店）,http://dimg13.c-ctrip.com/images/200h08000000392usF07B_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/482661.html,490,113.322152,23.150937
59,CAN,迎商·雅兰酒店（广州北京路店）,http://dimg11.c-ctrip.com/images/200d080000003bx6j30DE_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/647570.html,739,113.266737,23.12934
60,CAN,嘻哈商务公寓(广州琶洲保利世贸店),http://dimg11.c-ctrip.com/images/2001070000002l5b63A6B_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/789204.html,1459,113.366858,23.095873
61,CAN,广州同吉假日酒店,http://dimg10.c-ctrip.com/images/fd/hotel/g6/M00/F5/86/CggYs1cxUeeANeipAEBYCIWD-YM535_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1418729.html,582,113.34416,23.12671
62,CAN,碧桂园空港凤凰酒店（广州新白云机场店）,http://dimg13.c-ctrip.com/images/fd/hotel/g3/M05/D2/53/CggYG1aM4KmALXakABYkXs38V5w272_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1431478.html,418,113.304794,23.435402
63,CAN,桔子酒店·精选（广州天河岗顶店）,http://dimg12.c-ctrip.com/images/200f0900000045ryf36E1_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1732435.html,709,113.34107,23.135665
64,CAN,雅朵童趣公寓（广州番禺万达汉溪长隆地铁站店）,http://dimg11.c-ctrip.com/images/200q06000000193fh694F_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1917651.html,162,113.349131,23.006161
65,CAN,柏高酒店（广州天河北水荫路店）（原天河北东风公园西门店）,http://dimg10.c-ctrip.com/images/200a0d0000006r14e5AD3_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2582285.html,850,113.311592,23.142956
66,CAN,尚品假日酒店（广州新机场店）,http://dimg12.c-ctrip.com/images/fd/hotel/g3/M06/25/F3/CggYGlXBxY2AKmRrAAU6xGcDoLQ434_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2606606.html,249,113.291376,23.362524
67,CAN,丽枫舒适公寓（广州天河正佳广场店）,http://dimg10.c-ctrip.com/images/fd/hotel/g6/M0B/9A/70/CggYs1bC0ySASzbIAAIIqsBCgRg088_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2700958.html,808,113.33318,23.131042
68,CAN,嘻哈英伦亲子度假公寓（广州番禺万达店）,http://dimg11.c-ctrip.com/images/200v070000002qdsm0535_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2725409.html,259,113.349053,23.008396
69,CAN,迎商酒店（广州客村地铁站敦和店）,http://dimg10.c-ctrip.com/images/fd/hotel/g4/M04/48/5F/CggYHFZX-zyACOuiAB0RsyhxYXk551_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2728682.html,531,113.316577,23.089124
70,CAN,星伦万达广场主题公寓（广州长隆店）,http://dimg12.c-ctrip.com/images/2001060000001pllb9E9C_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/4496105.html,181,113.350507,23.007439
71,CAN,广州粤大金融城国际酒店,http://dimg11.c-ctrip.com/images/200b0400000005fz99444_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/4547905.html,787,113.37278,23.119562
72,CAN,星伦保利中汇国际公寓（广州火车东站店）（原伦凯保利国际公寓）,http://dimg11.c-ctrip.com/images/2005070000002pryl9500_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/4590350.html,692,113.323228,23.148444
73,CAN,布查特管家式酒店（广州汉溪长隆店）,http://dimg13.c-ctrip.com/images/fd/hotel/g6/M00/34/20/CggYtFcjJO6ACdz8AEJcYgxTI0k050_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/5105864.html,730,113.342208,22.992978
74,CAN,广州桃花江豪生酒店,http://dimg12.c-ctrip.com/images/2008090000003qkikA61B_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/6021813.html,958,113.271486,23.115342
75,CAN,桔子水晶酒店（广州白云机场店）（原花都店）,http://dimg13.c-ctrip.com/images/200g090000003vdq1ABE8_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/6128931.html,398,113.244798,23.391838
